authority	kind	ref	sha	standing
canonical-musical-derivation	vendored-source	docs/sources/ql-musical-derivation-v3.md	6414c56c6241c3da46e1ea6fdcd7a09b6b66c5aa	authored-canonical
canonical-musical-derivation	vendor-commit	main	9429a9fb5173f32138799046e8e2a4d7a2d86968	authored-canonical
pairing-mef-kernel	Rust-Q6	PR #19	5c781e87fa321b85c5d799d33d3eea7210d4ea58	accepted-foundation
holographic-kernel	C-R4	PR #76	e5f612653c71c8a9ae74199ef2e8b326e3e9deba	accepted-foundation
pairing-square-grammar	issue	#39	completed	accepted-foundation
holographic-kernel-programme	issue	#56	current	accepted-foundation
